69,127,87,77,105,74,123,71,141,69,159,68,177,66,195,65,213,64,231,63,250,63,268,63,286,63,304,64,322,66,340,68,358,71,376,74,394,77,438,90,438,140,394,135,376,132,358,129,340,126,322,123,304,121,286,119,268,118,250,118,231,118,213,120,195,121,177,124,159,127,141,129,123,132,105,134,87,135,69,131
192,186,198,176,204,176,210,176,216,176,222,176,228,176,233,176,239,176,245,176,251,176,257,176,263,176,269,176,274,176,280,176,286,176,292,176,298,176,310,176,310,193,298,193,292,193,286,193,280,193,274,193,269,193,263,193,257,193,251,193,245,193,239,193,233,193,228,193,222,193,216,193,210,193,204,192,198,192,192,192
82,276,87,276,93,276,99,276,105,276,111,276,117,276,123,276,128,276,134,276,140,276,146,276,152,276,158,276,164,276,169,276,175,276,181,276,187,276,205,276,205,298,187,298,181,298,175,298,169,298,164,298,158,298,152,298,146,298,140,298,134,298,128,298,123,298,117,298,111,298,105,298,99,298,93,298,87,298,82,298
160,130,168,129,177,128,186,127,195,126,204,125,212,124,221,124,230,124,239,124,248,124,256,124,265,124,274,124,283,124,291,124,300,124,309,124,318,125,341,128,341,176,318,176,309,176,300,176,291,176,283,176,274,176,265,176,256,175,248,174,239,174,230,174,221,174,212,174,204,174,195,174,186,174,177,174,168,176,160,176
285,277,292,275,299,274,306,274,312,274,319,274,326,273,333,273,340,273,347,273,354,273,360,273,367,273,374,273,381,273,388,273,395,273,401,273,408,273,426,273,426,298,408,298,401,298,395,298,388,299,381,299,374,299,367,299,360,299,354,299,347,299,340,299,333,299,326,299,319,299,312,299,306,299,299,299,292,299,285,280
268,246,275,245,283,244,290,244,297,243,305,243,312,243,319,243,327,243,334,243,341,243,349,243,356,243,363,243,371,243,378,243,385,243,393,243,400,243,415,243,415,272,400,273,393,273,385,273,378,273,371,273,363,273,356,273,349,273,341,273,334,273,327,273,319,273,312,273,305,273,297,273,290,273,283,273,275,273,268,246
99,246,106,243,113,243,120,243,126,243,133,243,140,243,147,243,154,243,161,243,167,243,174,243,181,243,188,243,195,243,202,243,208,243,215,243,222,243,238,243,238,274,222,274,215,274,208,274,202,274,195,274,188,274,181,274,174,274,167,274,161,274,154,274,147,274,140,274,133,274,126,274,120,274,113,274,106,274,99,250
101,229,105,229,110,229,114,229,119,229,123,229,127,229,132,229,136,229,141,229,145,229,149,229,154,229,158,229,163,229,167,229,171,229,176,229,180,229,188,229,188,233,180,233,176,233,171,233,167,233,163,233,158,233,154,233,149,233,145,233,141,233,136,233,132,233,127,233,123,233,119,233,114,233,110,233,105,233,101,233
61,198,81,198,100,198,120,198,139,198,159,198,178,198,198,198,217,198,237,198,256,198,276,198,295,198,315,198,334,198,354,198,374,198,393,198,413,199,454,203,454,231,413,231,393,231,374,231,354,231,334,231,315,231,295,231,276,231,256,231,237,231,217,231,198,231,178,231,159,231,139,231,120,231,100,231,81,231,61,231
106,195,111,192,116,192,121,192,126,191,131,191,136,191,141,191,145,191,150,191,155,191,160,191,165,191,170,192,175,192,180,192,185,192,189,192,194,192,208,193,208,203,194,203,189,203,185,203,180,203,175,203,170,203,165,203,160,203,155,203,150,203,145,203,141,203,136,202,131,202,126,201,121,201,116,201,111,201,106,196
206,118,209,117,213,117,217,116,221,116,225,116,229,116,233,116,237,116,241,116,245,116,249,116,252,116,256,116,260,116,264,116,268,116,272,116,276,116,285,118,285,119,276,119,272,119,268,119,264,119,260,119,256,119,252,119,249,119,245,119,241,119,237,119,233,119,229,119,225,119,221,119,217,119,213,119,209,119,206,119
