125,198,128,198,132,198,135,199,139,199,142,199,145,199,149,199,152,199,156,199,159,199,163,199,166,199,169,199,173,199,176,199,180,199,183,199,187,199,202,199,202,218,187,218,183,218,180,218,176,218,173,218,169,218,166,218,163,218,159,218,156,218,152,218,149,218,145,218,142,218,139,218,135,218,132,218,128,218,125,218
235,273,243,273,251,273,260,273,268,273,276,273,285,273,293,273,301,273,310,273,318,273,326,274,334,275,343,275,351,275,359,276,368,276,376,277,384,277,401,277,401,300,384,300,376,300,368,300,359,300,351,300,343,300,334,300,326,300,318,300,310,300,301,300,293,300,285,300,276,300,268,300,260,300,251,300,243,300,235,274
298,239,303,239,307,239,312,239,316,239,320,239,325,239,329,239,333,239,338,239,342,239,347,239,351,239,355,239,360,239,364,239,369,239,373,239,377,239,388,239,388,261,377,261,373,261,369,261,364,261,360,261,355,261,351,261,347,261,342,261,338,261,333,261,329,261,325,261,320,261,316,261,312,261,307,261,303,261,298,240
139,232,141,232,143,232,145,232,147,232,149,232,151,232,153,232,155,232,157,232,159,232,161,232,163,232,165,232,166,232,168,232,170,232,172,232,174,232,185,232,185,252,174,252,172,252,170,252,168,252,166,252,165,252,163,252,161,252,159,252,157,252,155,252,153,252,151,252,149,252,147,252,145,252,143,252,141,242,139,240
297,208,301,208,305,208,309,208,313,208,317,208,321,208,325,208,329,208,333,208,336,208,340,208,344,209,348,209,352,209,356,209,360,209,364,210,368,210,383,211,383,229,368,229,364,229,360,229,356,229,352,229,348,229,344,229,340,229,336,229,333,229,329,229,325,229,321,229,317,229,313,228,309,228,305,228,301,228,297,228
205,167,209,167,213,167,218,167,222,167,227,167,231,167,235,167,240,167,244,167,249,167,253,167,257,168,262,169,266,169,270,169,275,170,279,170,284,171,300,173,300,195,284,195,279,195,275,195,270,195,266,195,262,195,257,195,253,195,249,194,244,194,240,194,235,194,231,194,227,194,222,194,218,194,213,193,209,193,205,191
112,156,125,146,139,142,153,138,166,134,180,131,194,128,208,126,221,125,235,124,249,124,262,124,276,125,290,127,303,131,317,135,331,139,344,145,358,151,386,162,386,191,358,185,344,179,331,174,317,169,303,165,290,161,276,159,262,157,249,157,235,157,221,157,208,158,194,161,180,163,166,167,153,172,139,174,125,173,112,160
4,360,7,360,10,360,13,360,16,360,19,360,22,360,25,360,28,360,31,360,34,360,37,360,40,360,42,360,45,360,48,360,51,360,54,360,57,360,65,360,65,367,57,367,54,367,51,367,48,367,45,367,42,367,40,367,37,367,34,367,31,367,28,367,25,367,22,367,19,367,16,367,13,367,10,367,7,367,4,367
244,320,246,320,248,320,250,320,252,320,254,320,256,320,258,320,260,320,262,320,264,320,266,320,268,320,270,320,271,320,273,320,275,320,277,320,279,320,292,320,292,325,279,325,277,325,275,325,273,325,271,325,270,325,268,325,266,325,264,325,262,325,260,325,258,325,256,325,254,325,252,325,250,325,248,325,246,325,244,325
259,327,260,327,261,327,262,327,263,327,264,327,265,327,266,327,267,327,268,327,269,327,270,327,270,327,271,327,272,327,273,327,274,327,275,327,276,327,279,327,279,332,276,332,275,332,274,332,273,332,272,332,271,332,270,332,270,332,269,332,268,332,267,332,266,332,265,332,264,332,263,332,262,332,261,332,260,332,259,332
247,335,249,335,251,335,253,335,255,335,257,335,259,335,261,335,263,335,265,335,267,335,269,335,270,335,272,335,274,335,276,335,278,335,280,335,282,335,293,335,293,339,282,339,280,339,278,339,276,339,274,339,272,339,270,339,269,339,267,339,265,339,263,339,261,339,259,339,257,339,255,339,253,339,251,339,249,339,247,339
257,341,258,341,259,341,260,341,261,341,262,341,263,340,264,340,265,340,266,340,267,340,268,340,269,340,270,340,270,340,271,340,272,340,273,340,274,340,284,340,284,344,274,344,273,344,272,344,271,344,270,344,270,344,269,344,268,344,267,344,266,344,265,344,264,344,263,344,262,344,261,344,260,344,259,344,258,344,257,342
